Compound,m/z,Retention time (min),CCS (angstrom^2)
5.09_803.7568m/z,803.756834599542,5.08691666666667,284.123326675332
4.97_787.7598m/z,787.759812435551,4.96561666666667,281.068777837925
5.05_757.2737m/z,757.273727334281,5.05308333333333,278.10830627242
6.29_1020.8231m/z,1020.82308367867,6.2943,323.846315815547
5.09_776.6017n,797.58852805723,5.08691666666667,284.160322028766
3.16_924.7929m/z,924.792938421347,3.15735,311.754794846917
5.12_777.9210m/z,777.921016408466,5.12076666666667,277.97663202878
4.97_760.0107m/z,760.01065188933,4.96561666666667,278.090444375906
4.93_918.7569m/z,918.756892465393,4.93176666666667,299.231966670452
5.12_805.7723m/z,805.772282143339,5.12076666666667,287.261037202889
6.45_822.6419n,857.612075562552,6.44945,290.114920571591
3.16_896.9563m/z,896.956319958261,3.15735,302.479994973126
3.16_897.1882m/z,897.188187733593,3.15735,302.47881135516
3.10_922.7760m/z,922.776018960891,3.10373333333333,308.627874557077
5.05_761.6121m/z,761.612050352852,5.05308333333333,278.080052228573
3.16_893.9342m/z,893.934249024398,3.15735,302.495477498968
3.16_899.8980m/z,899.897979654713,3.15735,302.465023526983
1.21_727.8306m/z,727.830589351548,1.20775,262.511784794961
5.05_336.3790m/z,336.378982543782,5.05308333333333,190.33191787205
6.21_849.7669m/z,849.766894510645,6.20683333333333,287.011120189512
5.05_342.4169m/z,342.41694444914,5.05308333333333,190.202881583971
5.12_771.7017m/z,771.701667773826,5.12076666666667,274.861137071131
1.33_677.0948m/z,677.09476638897,1.32906666666667,253.374285377668
1.17_756.6871m/z,756.687053812955,1.17391666666667,268.643116410621
0.93_889.0476m/z,889.047569810053,0.9313,293.095816304991
0.93_896.2917m/z,896.291660143685,0.9313,293.059637231629
6.48_838.6401n,859.626005909115,6.4833,293.248974022286
0.90_889.1343m/z,889.134272165436,0.89745,296.237768827411
0.93_895.0867m/z,895.086674453236,0.9313,293.065614981743
1.36_647.7493m/z,647.74932648902,1.36291666666667,247.25751239324
5.09_734.5909n,771.57213206153,5.08691666666667,274.861945190219
5.09_775.9063m/z,775.906255654944,5.08691666666667,274.835051652609
3.19_870.2515m/z,870.251469266754,3.1912,283.757555159365
0.83_817.6043n,854.58674395746,0.82975,290.1311614465
1.30_703.0162m/z,703.016152282872,1.29521666666667,259.519377723956
3.16_897.7677n,896.760459014516,3.15735,302.480995259897
0.93_895.1727m/z,895.172742470451,0.9313,293.065187481803
5.80_890.7972m/z,890.797200570434,5.795,293.087024658684
6.48_830.6734n,865.662611696023,6.4833,293.216707455909
5.80_884.7589m/z,884.758861026145,5.795,296.260138696019
3.19_869.0642m/z,869.064208772004,3.1912,286.909420495098
5.05_315.3068n,314.299473935409,5.05308333333333,184.31654869607
5.05_720.4973m/z,720.497349302555,5.05308333333333,259.398718718581
