Compound,m/z,m/z_adj,Retention time (min),CCS (angstrom^2),NEG_2022_04_22_NR_LIPIDS_HILIC_C1,NEG_2022_04_22_NR_LIPIDS_HILIC_C2,NEG_2022_04_22_NR_LIPIDS_HILIC_C3,NEG_2022_04_22_NR_LIPIDS_HILIC_C4,NEG_2022_04_22_NR_LIPIDS_HILIC_RD1,NEG_2022_04_22_NR_LIPIDS_HILIC_RD2,NEG_2022_04_22_NR_LIPIDS_HILIC_RD3,NEG_2022_04_22_NR_LIPIDS_HILIC_RD4
6.36_877.6611m/z,877.661108147151,866.661108147151,6.36176666666667,296.057244797732,66.9675453082559,75.6420026671358,57.8029869680972,63.0564800077114,3347.70084810104,3608.84572159866,3897.16514936612,3857.6331789759
6.36_871.6240m/z,871.623971566299,866.623971566299,6.36176666666667,296.088952653372,1188.65158076242,1309.52996701037,1423.59730318992,1374.71189151416,4122.77009527744,4426.57657559396,4661.35487000045,4598.3453678366
5.17_803.6241m/z,803.624068406427,792.624068406427,5.17413333333333,277.568295543783,196.284933529453,211.59191191042,258.284648391915,229.418662903564,1954.56338474231,2574.82928481114,3138.93448755015,3615.63688422613
5.17_797.5869m/z,797.586860961354,792.586860961354,5.17413333333333,277.603674998109,1363.28406816696,1446.83633455296,1476.12498380713,1370.15142936994,2345.17527203179,2911.44106487607,3487.79125558515,4002.39985040473
5.17_777.6086m/z,777.608592887342,766.608592887342,5.17413333333333,271.777712816176,368.58632849729,411.356598076348,423.448345045091,415.818215797116,4653.35195286771,5758.05382782163,6231.47205940078,7014.42623297809
5.17_771.5711m/z,771.571120432734,766.571120432734,5.17413333333333,271.814680065362,4104.21438570063,5297.56686548847,4641.61240303643,4973.75237951392,5940.62755660749,7169.46448376541,8052.18796275111,8860.84944840723
5.05_761.6128m/z,761.612806057701,750.612806057701,5.05283333333333,270.379867306783,212.854182803502,262.41236680781,264.369127352762,240.488769227596,7032.27155878316,1996.91308248069,9849.98179730346,10082.0751294271
5.05_755.5739m/z,755.573920228549,750.573920228549,5.05283333333333,270.418192721363,1393.20910272704,1580.14119632445,1534.51330654366,1457.98741647606,7927.79491565158,2478.87807914178,10840.8616530971,11305.7909823642
3.41_924.6492m/z,924.6491738569,913.6491738569,3.41363333333333,305.747336184462,94.429611978002,180.516213726591,110.586544219796,105.604079838035,5443.40761244025,5738.73839948984,6420.31806371785,7375.70316994031
3.41_918.6112m/z,918.611206442283,913.611206442283,3.41363333333333,305.776878619267,460.345400950378,614.669487739899,524.546774758968,530.194242396139,7340.28795820075,7544.25654520669,8326.41933149155,9572.16046816471
3.41_896.7594m/z,896.759428046015,885.759428046015,3.41363333333333,295.959728088819,0.123379615178038,1.30502948500275,0.949312760042215,1.0580090223072,3812.52683273884,3883.22987057632,3988.09553958964,4685.87049606949
3.41_890.7210m/z,890.720979729173,885.720979729173,3.41363333333333,295.990111997942,297.456126371763,356.374087804685,286.484187060852,268.773635836593,4130.06044989076,4662.22925358473,4532.70906447669,5603.72647246515
3.38_978.6214m/z,978.621375202052,967.621375202052,3.37978333333333,312.487434110914,275.604597087069,325.386989411916,257.979210427917,221.783439425924,5145.52291400797,5188.32740336083,5715.82461204303,6050.71090306941
3.38_972.5838m/z,972.58376552861,967.58376552861,3.37978333333333,312.51442172381,934.621486587034,1094.7354398025,954.822242166549,927.084856523718,6602.04905263213,6641.527882992,7256.79376156975,7581.58918385604
1.71_808.5985m/z,808.598482981365,797.598482981365,1.707,279.015710003419,573.198183252935,567.038314285245,501.826329922982,539.286072765097,6140.13624753,5492.06466302288,4154.64877105878,4120.44529623615
1.71_802.5766m/z,802.576597593173,797.576597593173,1.707,279.050753564129,2185.27451466837,2564.92606161062,2446.58272780223,2351.57743798682,12063.5684852108,10943.5825391448,8445.25781442555,8578.8209900335
1.02_976.6035m/z,976.603511437399,965.603511437399,1.01871666666667,308.312578790787,447.099574520866,568.031938144487,469.374842175603,449.829646121562,2290.23476957917,2399.96050433588,2324.60328588326,2844.64824078266
1.02_970.5634m/z,970.563350803631,965.563350803631,1.01871666666667,308.33932616197,1810.92522929184,2170.76282537608,2037.40850706494,1907.61841635241,4358.48965976706,4484.77267472986,4198.41897624706,5014.24073690609
0.90_861.6306m/z,861.630558287414,850.630558287414,0.897416666666667,291.835944288083,376.339160206411,414.323093709423,397.149924553512,383.127573227942,1562.46002088986,1780.21260167158,2093.11969671953,2295.54529913391
0.90_855.5932m/z,855.59319302713,850.59319302713,0.897416666666667,291.86836057978,1065.39504321001,1193.01434624012,1095.72208838277,1007.0709708194,2634.42480983188,2876.02815070341,3036.3413109131,3297.69784205207
0.90_839.6401m/z,839.640120957354,828.640120957354,0.897416666666667,283.246433300342,350.609382435277,384.514942919933,369.823057210987,354.017545738871,1960.768400582,2383.32460280187,2583.61294863711,2891.33942401331
0.90_833.6022m/z,833.602240662172,828.602240662172,0.897416666666667,283.279546654301,822.894373635231,856.621816500142,777.636021275984,752.008736582744,5159.59751112303,6053.05510910816,6525.26193596225,7298.38118929053
